No,W1_91,W1_89,W1_down,W2_1cm,W2_2cm,W3_tail,W4_ha_air,W5_45degree,W5_90degree,W6_tape,W7_clip,sec
1,1,0,0,0,0,0,0,0,0,0,0,0.27
2,1,0,0,0,0,0,0,0,0,0,0,0.26
3,1,0,0,0,0,0,0,0,0,0,0,0.2
4,1,0,0,1,0,0,0,0,0,1,1,1.47
5,1,0,0,1,0,0,0,0,0,1,1,1.43
6,1,0,0,1,0,0,0,0,0,1,1,1.8
7,1,0,0,0,1,1,1,0,1,0,0,2.92
8,1,0,0,0,1,1,1,0,1,0,0,3.11
9,1,0,0,0,1,1,1,0,1,0,0,3.35
10,1,0,0,0,0,1,1,0,0,1,1,1.82
11,1,0,0,0,0,1,1,0,0,1,1,2.11
12,1,0,0,0,0,1,1,0,0,1,1,2.16
13,0,1,0,0,0,0,1,0,1,1,1,1.15
14,0,1,0,0,0,0,1,0,1,1,1,1.23
15,0,1,0,0,0,0,1,0,1,1,1,1.22
16,0,1,0,1,0,0,1,0,0,0,0,0.91
17,0,1,0,1,0,0,1,0,0,0,0,0.71
18,0,1,0,1,0,0,1,0,0,0,0,0.6
19,0,1,0,0,1,1,0,0,0,1,1,1.14
20,0,1,0,0,1,1,0,0,0,1,1,1.05
21,0,1,0,0,1,1,0,0,0,1,1,1.22
22,0,1,0,0,0,1,0,1,0,0,0,3.14
23,0,1,0,0,0,1,0,1,0,0,0,3.2
24,0,1,0,0,0,1,0,1,0,0,0,3.46
25,0,0,0,0,0,1,0,0,0,0,1,3.07
26,0,0,0,0,0,1,0,0,0,0,1,3.28
27,0,0,0,0,0,1,0,0,0,0,1,3.11
28,0,0,0,1,0,1,0,0,1,1,0,2.75
29,0,0,0,1,0,1,0,0,1,1,0,2.54
30,0,0,0,1,0,1,0,0,1,1,0,2.79
31,0,0,0,0,1,0,1,1,0,0,1,1.49
32,0,0,0,0,1,0,1,1,0,0,1,1.51
33,0,0,0,0,1,0,1,1,0,0,1,1.21
34,0,0,0,0,0,0,1,0,0,1,0,1.16
35,0,0,0,0,0,0,1,0,0,1,0,1.02
36,0,0,0,0,0,0,1,0,0,1,0,1.31
37,0,0,1,0,0,1,1,1,0,1,0,3.05
38,0,0,1,0,0,1,1,1,0,1,0,2.98
39,0,0,1,0,0,1,1,1,0,1,0,3.24
40,0,0,1,1,0,1,1,0,0,0,1,3.36
41,0,0,1,1,0,1,1,0,0,0,1,2.89
42,0,0,1,1,0,1,1,0,0,0,1,3.45
43,0,0,1,0,1,0,0,0,0,1,0,4.78
44,0,0,1,0,1,0,0,0,0,1,0,4.55
45,0,0,1,0,1,0,0,0,0,1,0,4.11
46,0,0,1,0,0,0,0,0,1,0,1,1.7
47,0,0,1,0,0,0,0,0,1,0,1,1.82
48,0,0,1,0,0,0,0,0,1,0,1,2.11
